 time E 'mtrCAB_electrons_from_SolubleIron' 'mtrCAB_electrons_from_mtrB'
0.000000E+00 0 0.000000E+00 0.000000E+00
1.000000E-05 429 3.600000E+01 0.000000E+00
2.000000E-05 1017 2.310000E+02 0.000000E+00
3.000000E-05 1723 5.660000E+02 5.000000E+01
4.000000E-05 2542 9.900000E+02 9.200000E+01
5.000000E-05 3460 1.523000E+03 1.550000E+02
6.000000E-05 4354 2.048000E+03 2.310000E+02
7.000000E-05 5246 2.580000E+03 2.960000E+02
8.000000E-05 6186 3.090000E+03 4.060000E+02
9.000000E-05 7078 3.603000E+03 4.560000E+02
1.000000E-04 7963 4.108000E+03 5.360000E+02
1.100000E-04 8901 4.615000E+03 5.880000E+02
1.200000E-04 9869 5.172000E+03 6.630000E+02
1.300000E-04 10890 5.780000E+03 7.110000E+02
1.400000E-04 11894 6.364000E+03 7.450000E+02
1.500000E-04 12937 6.994000E+03 8.250000E+02
1.600000E-04 13944 7.583000E+03 9.210000E+02
1.700000E-04 14929 8.141000E+03 1.017000E+03
1.800000E-04 15911 8.706000E+03 1.103000E+03
1.900000E-04 16931 9.319000E+03 1.141000E+03
2.000000E-04 17996 9.971000E+03 1.237000E+03
2.100000E-04 18980 1.054300E+04 1.316000E+03
2.200000E-04 19968 1.112600E+04 1.373000E+03
2.300000E-04 20945 1.169800E+04 1.413000E+03
2.400000E-04 21954 1.231200E+04 1.509000E+03
2.500000E-04 22887 1.284900E+04 1.583000E+03
2.600000E-04 23765 1.335200E+04 1.670000E+03
2.700000E-04 24648 1.385600E+04 1.766000E+03
2.800000E-04 25577 1.438200E+04 1.846000E+03
2.900000E-04 26492 1.492200E+04 1.925000E+03
3.000000E-04 27383 1.543400E+04 2.027000E+03
3.100000E-04 28382 1.600900E+04 2.097000E+03
3.200000E-04 29375 1.661700E+04 2.159000E+03
3.300000E-04 30347 1.717500E+04 2.221000E+03
3.400000E-04 31312 1.773000E+04 2.268000E+03
3.500000E-04 32296 1.829100E+04 2.328000E+03
3.600000E-04 33219 1.884400E+04 2.405000E+03
3.700000E-04 34227 1.938700E+04 2.463000E+03
3.800000E-04 35222 1.994800E+04 2.517000E+03
3.900000E-04 36192 2.051900E+04 2.579000E+03
4.000000E-04 37107 2.106600E+04 2.651000E+03
4.100000E-04 38042 2.160400E+04 2.730000E+03
4.200000E-04 39029 2.217300E+04 2.801000E+03
4.300000E-04 40033 2.276100E+04 2.854000E+03
4.400000E-04 41010 2.334100E+04 2.897000E+03
4.500000E-04 41972 2.392700E+04 2.962000E+03
4.600000E-04 42987 2.449700E+04 3.034000E+03
4.700000E-04 43870 2.498200E+04 3.121000E+03
4.800000E-04 44736 2.549800E+04 3.186000E+03
4.900000E-04 45670 2.603500E+04 3.285000E+03
5.000000E-04 46609 2.655800E+04 3.402000E+03
5.100000E-04 47529 2.707700E+04 3.483000E+03
5.200000E-04 48458 2.764200E+04 3.567000E+03
5.300000E-04 49434 2.820600E+04 3.625000E+03
5.400000E-04 50407 2.875700E+04 3.696000E+03
5.500000E-04 51350 2.929200E+04 3.736000E+03
5.600000E-04 52406 2.992600E+04 3.807000E+03
5.700000E-04 53449 3.055000E+04 3.888000E+03
5.800000E-04 54480 3.117000E+04 3.974000E+03
5.900000E-04 55497 3.175300E+04 4.032000E+03
6.000000E-04 56488 3.234800E+04 4.108000E+03
6.100000E-04 57498 3.296200E+04 4.208000E+03
6.200000E-04 58448 3.350100E+04 4.257000E+03
6.300000E-04 59449 3.407000E+04 4.301000E+03
6.400000E-04 60437 3.463500E+04 4.380000E+03
6.500000E-04 61344 3.518200E+04 4.423000E+03
6.600000E-04 62349 3.578000E+04 4.468000E+03
6.700000E-04 63314 3.635500E+04 4.556000E+03
6.800000E-04 64245 3.690000E+04 4.680000E+03
6.900000E-04 65227 3.749300E+04 4.743000E+03
7.000000E-04 66156 3.804200E+04 4.830000E+03
7.100000E-04 67048 3.853500E+04 4.895000E+03
7.200000E-04 67987 3.906800E+04 5.018000E+03
7.300000E-04 68908 3.958500E+04 5.069000E+03
7.400000E-04 69914 4.018700E+04 5.115000E+03
7.500000E-04 70927 4.073000E+04 5.156000E+03
7.600000E-04 71825 4.120600E+04 5.207000E+03
7.700000E-04 72752 4.173400E+04 5.277000E+03
7.800000E-04 73696 4.226900E+04 5.364000E+03
7.900000E-04 74687 4.283600E+04 5.408000E+03
8.000000E-04 75673 4.339100E+04 5.469000E+03
8.100000E-04 76606 4.394800E+04 5.542000E+03
8.200000E-04 77552 4.451200E+04 5.572000E+03
8.300000E-04 78530 4.507000E+04 5.643000E+03
8.400000E-04 79536 4.564200E+04 5.728000E+03
8.500000E-04 80523 4.623700E+04 5.823000E+03
8.600000E-04 81517 4.682400E+04 5.887000E+03
8.700000E-04 82466 4.738600E+04 5.955000E+03
8.800000E-04 83417 4.791300E+04 6.040000E+03
8.900000E-04 84331 4.843600E+04 6.107000E+03
9.000000E-04 85267 4.896000E+04 6.171000E+03
9.100000E-04 86242 4.955700E+04 6.247000E+03
9.200000E-04 87141 5.006700E+04 6.332000E+03
9.300000E-04 88084 5.058000E+04 6.405000E+03
9.400000E-04 89050 5.113900E+04 6.458000E+03
9.500000E-04 89974 5.165300E+04 6.520000E+03
9.600000E-04 90949 5.218800E+04 6.572000E+03
9.700000E-04 91885 5.273600E+04 6.650000E+03
9.800000E-04 92853 5.329500E+04 6.748000E+03
9.900000E-04 93887 5.395100E+04 6.803000E+03
1.000000E-03 94857 5.452800E+04 6.834000E+03
