 time E 'mtrA_electrons_from_SolubleIron'
0.000000E+00 0 0.000000E+00
1.000000E-05 275 6.100000E+01
2.000000E-05 766 3.470000E+02
3.000000E-05 1411 8.080000E+02
4.000000E-05 2182 1.407000E+03
5.000000E-05 3128 2.156000E+03
6.000000E-05 4065 2.905000E+03
7.000000E-05 5050 3.686000E+03
8.000000E-05 6065 4.481000E+03
9.000000E-05 7088 5.309000E+03
1.000000E-04 8115 6.132000E+03
1.100000E-04 9140 6.978000E+03
1.200000E-04 10098 7.769000E+03
1.300000E-04 11020 8.516000E+03
1.400000E-04 11911 9.205000E+03
1.500000E-04 12802 9.927000E+03
1.600000E-04 13683 1.063400E+04
1.700000E-04 14672 1.142300E+04
1.800000E-04 15596 1.217000E+04
1.900000E-04 16535 1.292200E+04
2.000000E-04 17495 1.371000E+04
2.100000E-04 18375 1.441400E+04
2.200000E-04 19295 1.514900E+04
2.300000E-04 20268 1.592100E+04
2.400000E-04 21150 1.663800E+04
2.500000E-04 21984 1.728900E+04
2.600000E-04 22931 1.803900E+04
2.700000E-04 23896 1.880100E+04
2.800000E-04 24852 1.957900E+04
2.900000E-04 25832 2.036200E+04
3.000000E-04 26801 2.112700E+04
3.100000E-04 27748 2.189500E+04
3.200000E-04 28727 2.269000E+04
3.300000E-04 29725 2.350300E+04
3.400000E-04 30702 2.429900E+04
3.500000E-04 31642 2.504600E+04
3.600000E-04 32631 2.586200E+04
3.700000E-04 33577 2.661700E+04
3.800000E-04 34515 2.737400E+04
3.900000E-04 35473 2.814300E+04
4.000000E-04 36469 2.894400E+04
4.100000E-04 37366 2.966500E+04
4.200000E-04 38302 3.041100E+04
4.300000E-04 39273 3.119700E+04
4.400000E-04 40208 3.195900E+04
4.500000E-04 41162 3.271900E+04
4.600000E-04 42099 3.346800E+04
4.700000E-04 43052 3.423300E+04
4.800000E-04 44018 3.501800E+04
4.900000E-04 44943 3.574800E+04
5.000000E-04 45912 3.652400E+04
5.100000E-04 46908 3.734700E+04
5.200000E-04 47822 3.809900E+04
5.300000E-04 48744 3.881500E+04
5.400000E-04 49661 3.954900E+04
5.500000E-04 50555 4.028400E+04
5.600000E-04 51446 4.099700E+04
5.700000E-04 52383 4.174400E+04
5.800000E-04 53295 4.247800E+04
5.900000E-04 54197 4.317200E+04
6.000000E-04 55174 4.395800E+04
6.100000E-04 56190 4.479000E+04
6.200000E-04 57101 4.553300E+04
6.300000E-04 58058 4.628400E+04
6.400000E-04 58969 4.702500E+04
6.500000E-04 59916 4.777800E+04
6.600000E-04 60865 4.852500E+04
6.700000E-04 61800 4.927300E+04
6.800000E-04 62824 5.010600E+04
6.900000E-04 63730 5.084900E+04
7.000000E-04 64652 5.158300E+04
7.100000E-04 65548 5.229800E+04
7.200000E-04 66481 5.302100E+04
7.300000E-04 67501 5.385300E+04
7.400000E-04 68467 5.461800E+04
7.500000E-04 69430 5.539500E+04
7.600000E-04 70461 5.622500E+04
7.700000E-04 71506 5.707700E+04
7.800000E-04 72491 5.786000E+04
7.900000E-04 73474 5.864800E+04
8.000000E-04 74419 5.942700E+04
8.100000E-04 75331 6.015800E+04
8.200000E-04 76240 6.089900E+04
8.300000E-04 77210 6.168200E+04
8.400000E-04 78147 6.242000E+04
8.500000E-04 79054 6.314100E+04
8.600000E-04 79981 6.388400E+04
8.700000E-04 80939 6.467600E+04
8.800000E-04 81859 6.540500E+04
8.900000E-04 82743 6.612600E+04
9.000000E-04 83660 6.686800E+04
9.100000E-04 84559 6.756200E+04
9.200000E-04 85581 6.835000E+04
9.300000E-04 86540 6.913200E+04
9.400000E-04 87571 6.995500E+04
9.500000E-04 88582 7.077200E+04
9.600000E-04 89553 7.154900E+04
9.700000E-04 90574 7.237300E+04
9.800000E-04 91530 7.314700E+04
9.900000E-04 92450 7.388600E+04
1.000000E-03 93445 7.468600E+04
