time 'mtrCAB_electrons_from_SolubleIron' 'mtrCAB_electrons_from_mtrB' 'mtrA_electrons_from_SolubleIron'
0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-05 4.700000E+01 0.000000E+00 5.800000E+01
2.000000E-05 2.270000E+02 1.000000E+01 3.260000E+02
3.000000E-05 5.150000E+02 3.500000E+01 7.250000E+02
4.000000E-05 9.570000E+02 1.340000E+02 1.292000E+03
5.000000E-05 1.481000E+03 1.770000E+02 1.981000E+03
6.000000E-05 2.074000E+03 2.350000E+02 2.728000E+03
7.000000E-05 2.622000E+03 3.370000E+02 3.443000E+03
8.000000E-05 3.156000E+03 4.300000E+02 4.204000E+03
9.000000E-05 3.764000E+03 5.020000E+02 5.015000E+03
1.000000E-04 4.341000E+03 5.680000E+02 5.800000E+03
1.100000E-04 4.883000E+03 6.350000E+02 6.695000E+03
1.200000E-04 5.413000E+03 7.220000E+02 7.511000E+03
1.300000E-04 5.914000E+03 8.250000E+02 8.304000E+03
1.400000E-04 6.457000E+03 8.610000E+02 9.085000E+03
1.500000E-04 7.046000E+03 9.660000E+02 9.864000E+03
1.600000E-04 7.580000E+03 1.016000E+03 1.072300E+04
1.700000E-04 8.157000E+03 1.098000E+03 1.154800E+04
1.800000E-04 8.766000E+03 1.203000E+03 1.227100E+04
1.900000E-04 9.360000E+03 1.248000E+03 1.306800E+04
2.000000E-04 9.909000E+03 1.311000E+03 1.376600E+04
2.100000E-04 1.047600E+04 1.408000E+03 1.454000E+04
2.200000E-04 1.105000E+04 1.460000E+03 1.529500E+04
2.300000E-04 1.161400E+04 1.602000E+03 1.606600E+04
2.400000E-04 1.216500E+04 1.670000E+03 1.682500E+04
2.500000E-04 1.275900E+04 1.747000E+03 1.755900E+04
2.600000E-04 1.332800E+04 1.814000E+03 1.830600E+04
2.700000E-04 1.386100E+04 1.868000E+03 1.906800E+04
2.800000E-04 1.439700E+04 1.934000E+03 1.975900E+04
2.900000E-04 1.491400E+04 1.983000E+03 2.046200E+04
3.000000E-04 1.546000E+04 2.050000E+03 2.117300E+04
3.100000E-04 1.601500E+04 2.091000E+03 2.183700E+04
3.200000E-04 1.655400E+04 2.160000E+03 2.249800E+04
