 time E 'electrons_from_0.2_micromoles_Flavin' 'electrons_from_mtrC'
0.000000E+00 0 0.000000E+00 0.000000E+00
1.000000E-05 6 0.000000E+00 0.000000E+00
2.000000E-05 25 0.000000E+00 0.000000E+00
3.000000E-05 45 0.000000E+00 0.000000E+00
4.000000E-05 67 0.000000E+00 0.000000E+00
5.000000E-05 95 0.000000E+00 0.000000E+00
6.000000E-05 111 0.000000E+00 0.000000E+00
7.000000E-05 135 2.000000E+00 0.000000E+00
8.000000E-05 156 4.000000E+00 0.000000E+00
9.000000E-05 170 4.000000E+00 0.000000E+00
1.000000E-04 190 6.000000E+00 0.000000E+00
1.100000E-04 215 1.000000E+01 0.000000E+00
1.200000E-04 243 1.200000E+01 1.000000E+01
1.300000E-04 262 1.200000E+01 1.000000E+01
1.400000E-04 289 1.400000E+01 1.000000E+01
1.500000E-04 315 2.200000E+01 1.000000E+01
1.600000E-04 350 2.600000E+01 1.000000E+01
1.700000E-04 371 2.800000E+01 1.000000E+01
1.800000E-04 391 2.800000E+01 1.000000E+01
1.900000E-04 410 2.800000E+01 1.000000E+01
2.000000E-04 446 3.200000E+01 1.000000E+01
2.100000E-04 470 3.600000E+01 1.000000E+01
2.200000E-04 500 3.800000E+01 2.000000E+01
2.300000E-04 524 5.000000E+01 2.000000E+01
2.400000E-04 551 5.600000E+01 2.000000E+01
2.500000E-04 576 5.800000E+01 2.000000E+01
2.600000E-04 599 6.600000E+01 2.000000E+01
2.700000E-04 623 6.800000E+01 2.000000E+01
2.800000E-04 642 6.800000E+01 3.000000E+01
2.900000E-04 665 7.200000E+01 3.000000E+01
3.000000E-04 697 7.800000E+01 3.000000E+01
3.100000E-04 716 7.800000E+01 3.000000E+01
3.200000E-04 743 8.200000E+01 3.000000E+01
3.300000E-04 769 8.400000E+01 3.000000E+01
3.400000E-04 795 9.400000E+01 3.000000E+01
3.500000E-04 811 9.600000E+01 3.000000E+01
3.600000E-04 843 1.040000E+02 4.000000E+01
3.700000E-04 868 1.100000E+02 5.000000E+01
3.800000E-04 894 1.180000E+02 6.000000E+01
3.900000E-04 913 1.200000E+02 6.000000E+01
4.000000E-04 939 1.340000E+02 6.000000E+01
4.100000E-04 966 1.420000E+02 6.000000E+01
4.200000E-04 1008 1.500000E+02 7.000000E+01
4.300000E-04 1026 1.560000E+02 7.000000E+01
4.400000E-04 1055 1.600000E+02 7.000000E+01
4.500000E-04 1085 1.680000E+02 7.000000E+01
4.600000E-04 1110 1.720000E+02 8.000000E+01
4.700000E-04 1135 1.820000E+02 8.000000E+01
4.800000E-04 1167 1.980000E+02 9.000000E+01
4.900000E-04 1200 2.100000E+02 9.000000E+01
5.000000E-04 1232 2.220000E+02 9.000000E+01
5.100000E-04 1259 2.360000E+02 9.000000E+01
5.200000E-04 1286 2.460000E+02 9.000000E+01
5.300000E-04 1326 2.640000E+02 9.000000E+01
5.400000E-04 1360 2.720000E+02 9.000000E+01
5.500000E-04 1414 2.920000E+02 1.000000E+02
5.600000E-04 1452 3.060000E+02 1.100000E+02
5.700000E-04 1484 3.140000E+02 1.200000E+02
5.800000E-04 1506 3.160000E+02 1.200000E+02
5.900000E-04 1543 3.200000E+02 1.200000E+02
6.000000E-04 1572 3.320000E+02 1.200000E+02
6.100000E-04 1596 3.420000E+02 1.200000E+02
6.200000E-04 1628 3.440000E+02 1.200000E+02
6.300000E-04 1669 3.560000E+02 1.200000E+02
6.400000E-04 1688 3.620000E+02 1.200000E+02
6.500000E-04 1720 3.740000E+02 1.200000E+02
6.600000E-04 1743 3.840000E+02 1.200000E+02
6.700000E-04 1772 3.940000E+02 1.200000E+02
6.800000E-04 1805 4.020000E+02 1.300000E+02
6.900000E-04 1833 4.100000E+02 1.300000E+02
7.000000E-04 1869 4.180000E+02 1.300000E+02
7.100000E-04 1904 4.260000E+02 1.400000E+02
7.200000E-04 1930 4.320000E+02 1.400000E+02
7.300000E-04 1964 4.500000E+02 1.400000E+02
7.400000E-04 1993 4.600000E+02 1.500000E+02
7.500000E-04 2020 4.720000E+02 1.500000E+02
7.600000E-04 2046 4.800000E+02 1.600000E+02
7.700000E-04 2082 4.920000E+02 1.600000E+02
7.800000E-04 2126 5.060000E+02 1.700000E+02
7.900000E-04 2163 5.120000E+02 1.900000E+02
8.000000E-04 2207 5.240000E+02 1.900000E+02
8.100000E-04 2254 5.400000E+02 2.000000E+02
8.200000E-04 2284 5.500000E+02 2.100000E+02
8.300000E-04 2314 5.580000E+02 2.100000E+02
8.400000E-04 2347 5.700000E+02 2.100000E+02
8.500000E-04 2382 5.820000E+02 2.100000E+02
8.600000E-04 2414 5.900000E+02 2.200000E+02
8.700000E-04 2450 6.040000E+02 2.200000E+02
8.800000E-04 2478 6.120000E+02 2.200000E+02
8.900000E-04 2516 6.220000E+02 2.300000E+02
9.000000E-04 2547 6.320000E+02 2.300000E+02
9.100000E-04 2580 6.440000E+02 2.400000E+02
9.200000E-04 2607 6.560000E+02 2.500000E+02
9.300000E-04 2629 6.580000E+02 2.600000E+02
9.400000E-04 2666 6.740000E+02 2.600000E+02
9.500000E-04 2695 6.840000E+02 2.600000E+02
9.600000E-04 2729 6.960000E+02 2.600000E+02
9.700000E-04 2754 7.040000E+02 2.600000E+02
9.800000E-04 2788 7.220000E+02 2.600000E+02
9.900000E-04 2818 7.320000E+02 2.600000E+02
1.000000E-03 2843 7.420000E+02 2.700000E+02
