 time E 'nanoParticles_with_electrons_from_Flavin' 'nanoParticles_with_electrons_from_mtrC'
0.000000E+00 0 0.000000E+00 0.000000E+00
1.000000E-05 106 0.000000E+00 0.000000E+00
2.000000E-05 163 1.000000E+01 1.000000E+01
3.000000E-05 228 3.400000E+01 4.000000E+01
4.000000E-05 297 5.800000E+01 4.000000E+01
5.000000E-05 385 1.020000E+02 5.000000E+01
6.000000E-05 459 1.320000E+02 5.000000E+01
7.000000E-05 552 1.720000E+02 5.000000E+01
8.000000E-05 634 2.120000E+02 7.000000E+01
9.000000E-05 705 2.440000E+02 8.000000E+01
1.000000E-04 773 2.780000E+02 8.000000E+01
1.100000E-04 839 3.040000E+02 8.000000E+01
1.200000E-04 892 3.220000E+02 1.000000E+02
1.300000E-04 987 3.640000E+02 1.000000E+02
1.400000E-04 1065 3.920000E+02 1.100000E+02
1.500000E-04 1154 4.420000E+02 1.100000E+02
1.600000E-04 1235 4.800000E+02 1.100000E+02
1.700000E-04 1327 5.160000E+02 1.300000E+02
1.800000E-04 1417 5.640000E+02 1.400000E+02
1.900000E-04 1492 5.880000E+02 1.400000E+02
2.000000E-04 1617 6.500000E+02 1.600000E+02
2.100000E-04 1678 6.820000E+02 1.700000E+02
2.200000E-04 1767 7.180000E+02 1.800000E+02
2.300000E-04 1840 7.540000E+02 1.900000E+02
2.400000E-04 1934 7.960000E+02 2.100000E+02
2.500000E-04 2020 8.300000E+02 2.400000E+02
2.600000E-04 2104 8.720000E+02 2.600000E+02
2.700000E-04 2206 9.180000E+02 2.700000E+02
2.800000E-04 2285 9.460000E+02 2.700000E+02
2.900000E-04 2382 9.900000E+02 2.900000E+02
3.000000E-04 2461 1.024000E+03 2.900000E+02
3.100000E-04 2552 1.064000E+03 3.000000E+02
3.200000E-04 2645 1.104000E+03 3.100000E+02
3.300000E-04 2726 1.148000E+03 3.300000E+02
3.400000E-04 2797 1.170000E+03 3.300000E+02
3.500000E-04 2905 1.218000E+03 3.400000E+02
3.600000E-04 2988 1.262000E+03 3.500000E+02
3.700000E-04 3072 1.304000E+03 3.600000E+02
3.800000E-04 3176 1.344000E+03 3.600000E+02
3.900000E-04 3276 1.390000E+03 3.600000E+02
4.000000E-04 3378 1.432000E+03 3.600000E+02
4.100000E-04 3474 1.484000E+03 3.600000E+02
4.200000E-04 3574 1.528000E+03 3.600000E+02
4.300000E-04 3665 1.568000E+03 3.700000E+02
4.400000E-04 3757 1.610000E+03 4.100000E+02
4.500000E-04 3824 1.640000E+03 4.100000E+02
4.600000E-04 3925 1.680000E+03 4.300000E+02
4.700000E-04 4030 1.734000E+03 4.300000E+02
4.800000E-04 4100 1.772000E+03 4.400000E+02
4.900000E-04 4208 1.816000E+03 4.700000E+02
5.000000E-04 4265 1.842000E+03 4.800000E+02
5.100000E-04 4361 1.888000E+03 4.900000E+02
5.200000E-04 4444 1.914000E+03 5.000000E+02
5.300000E-04 4547 1.960000E+03 5.100000E+02
5.400000E-04 4651 2.018000E+03 5.100000E+02
5.500000E-04 4729 2.050000E+03 5.200000E+02
5.600000E-04 4807 2.086000E+03 5.200000E+02
5.700000E-04 4899 2.126000E+03 5.300000E+02
5.800000E-04 5001 2.170000E+03 5.300000E+02
5.900000E-04 5106 2.226000E+03 5.400000E+02
6.000000E-04 5181 2.266000E+03 5.400000E+02
6.100000E-04 5238 2.290000E+03 5.400000E+02
6.200000E-04 5328 2.326000E+03 5.400000E+02
6.300000E-04 5407 2.364000E+03 5.500000E+02
6.400000E-04 5480 2.392000E+03 5.800000E+02
6.500000E-04 5549 2.430000E+03 5.900000E+02
6.600000E-04 5647 2.458000E+03 6.100000E+02
6.700000E-04 5737 2.508000E+03 6.100000E+02
6.800000E-04 5812 2.538000E+03 6.100000E+02
6.900000E-04 5916 2.582000E+03 6.100000E+02
7.000000E-04 6000 2.622000E+03 6.100000E+02
7.100000E-04 6099 2.666000E+03 6.100000E+02
7.200000E-04 6183 2.704000E+03 6.400000E+02
7.300000E-04 6251 2.732000E+03 6.500000E+02
7.400000E-04 6343 2.772000E+03 6.700000E+02
7.500000E-04 6436 2.814000E+03 6.800000E+02
7.600000E-04 6529 2.860000E+03 6.800000E+02
7.700000E-04 6618 2.906000E+03 7.000000E+02
7.800000E-04 6687 2.938000E+03 7.000000E+02
7.900000E-04 6770 2.970000E+03 7.000000E+02
8.000000E-04 6856 3.006000E+03 7.100000E+02
8.100000E-04 6940 3.056000E+03 7.200000E+02
8.200000E-04 7023 3.086000E+03 7.300000E+02
8.300000E-04 7092 3.120000E+03 7.400000E+02
8.400000E-04 7174 3.154000E+03 7.400000E+02
8.500000E-04 7271 3.188000E+03 7.600000E+02
8.600000E-04 7373 3.230000E+03 7.600000E+02
8.700000E-04 7467 3.280000E+03 7.700000E+02
8.800000E-04 7539 3.314000E+03 7.900000E+02
8.900000E-04 7606 3.344000E+03 7.900000E+02
9.000000E-04 7681 3.374000E+03 7.900000E+02
9.100000E-04 7778 3.418000E+03 7.900000E+02
9.200000E-04 7875 3.456000E+03 7.900000E+02
9.300000E-04 7976 3.506000E+03 8.000000E+02
9.400000E-04 8042 3.544000E+03 8.000000E+02
9.500000E-04 8132 3.580000E+03 8.000000E+02
9.600000E-04 8217 3.620000E+03 8.100000E+02
9.700000E-04 8326 3.666000E+03 8.100000E+02
9.800000E-04 8430 3.712000E+03 8.400000E+02
9.900000E-04 8504 3.756000E+03 8.400000E+02
1.000000E-03 8601 3.792000E+03 8.500000E+02
