 time E 'microParticles_with_electrons_from_Flavin' 'microParticles_with_electrons_from_mtrC'
0.000000E+00 0 0.000000E+00 0.000000E+00
1.000000E-05 25 0.000000E+00 0.000000E+00
2.000000E-05 58 0.000000E+00 0.000000E+00
3.000000E-05 95 0.000000E+00 0.000000E+00
4.000000E-05 125 0.000000E+00 0.000000E+00
5.000000E-05 167 2.000000E+00 0.000000E+00
6.000000E-05 203 4.000000E+00 0.000000E+00
7.000000E-05 242 4.000000E+00 0.000000E+00
8.000000E-05 284 4.000000E+00 0.000000E+00
9.000000E-05 337 6.000000E+00 0.000000E+00
1.000000E-04 371 6.000000E+00 0.000000E+00
1.100000E-04 432 1.800000E+01 0.000000E+00
1.200000E-04 469 1.800000E+01 0.000000E+00
1.300000E-04 511 2.000000E+01 0.000000E+00
1.400000E-04 543 2.000000E+01 0.000000E+00
1.500000E-04 578 2.000000E+01 1.000000E+01
1.600000E-04 638 2.800000E+01 1.000000E+01
1.700000E-04 689 3.000000E+01 2.000000E+01
1.800000E-04 737 3.600000E+01 2.000000E+01
1.900000E-04 775 4.200000E+01 2.000000E+01
2.000000E-04 822 4.800000E+01 2.000000E+01
2.100000E-04 875 5.600000E+01 3.000000E+01
2.200000E-04 926 6.200000E+01 3.000000E+01
2.300000E-04 977 6.800000E+01 4.000000E+01
2.400000E-04 1034 7.400000E+01 4.000000E+01
2.500000E-04 1077 8.600000E+01 4.000000E+01
2.600000E-04 1131 9.000000E+01 4.000000E+01
2.700000E-04 1183 9.600000E+01 4.000000E+01
2.800000E-04 1226 1.040000E+02 4.000000E+01
2.900000E-04 1287 1.140000E+02 4.000000E+01
3.000000E-04 1341 1.240000E+02 4.000000E+01
3.100000E-04 1396 1.380000E+02 4.000000E+01
3.200000E-04 1445 1.460000E+02 4.000000E+01
3.300000E-04 1501 1.620000E+02 4.000000E+01
3.400000E-04 1560 1.760000E+02 4.000000E+01
3.500000E-04 1610 1.800000E+02 4.000000E+01
3.600000E-04 1666 1.940000E+02 4.000000E+01
3.700000E-04 1729 2.040000E+02 4.000000E+01
3.800000E-04 1775 2.140000E+02 4.000000E+01
3.900000E-04 1825 2.200000E+02 4.000000E+01
4.000000E-04 1879 2.300000E+02 5.000000E+01
4.100000E-04 1936 2.440000E+02 7.000000E+01
4.200000E-04 1990 2.520000E+02 8.000000E+01
4.300000E-04 2036 2.640000E+02 9.000000E+01
4.400000E-04 2076 2.760000E+02 9.000000E+01
4.500000E-04 2137 2.860000E+02 9.000000E+01
4.600000E-04 2196 2.980000E+02 1.000000E+02
4.700000E-04 2250 3.140000E+02 1.000000E+02
4.800000E-04 2308 3.320000E+02 1.000000E+02
4.900000E-04 2374 3.500000E+02 1.000000E+02
5.000000E-04 2428 3.620000E+02 1.000000E+02
5.100000E-04 2484 3.700000E+02 1.000000E+02
5.200000E-04 2542 3.840000E+02 1.000000E+02
5.300000E-04 2616 4.080000E+02 1.000000E+02
5.400000E-04 2677 4.240000E+02 1.000000E+02
5.500000E-04 2736 4.440000E+02 1.000000E+02
5.600000E-04 2784 4.580000E+02 1.100000E+02
5.700000E-04 2847 4.820000E+02 1.100000E+02
5.800000E-04 2905 5.000000E+02 1.100000E+02
5.900000E-04 2969 5.220000E+02 1.300000E+02
6.000000E-04 3033 5.380000E+02 1.500000E+02
6.100000E-04 3101 5.700000E+02 1.500000E+02
6.200000E-04 3168 5.860000E+02 1.600000E+02
6.300000E-04 3232 6.040000E+02 1.700000E+02
6.400000E-04 3296 6.200000E+02 1.700000E+02
6.500000E-04 3350 6.400000E+02 1.700000E+02
6.600000E-04 3410 6.500000E+02 1.700000E+02
6.700000E-04 3470 6.700000E+02 1.800000E+02
6.800000E-04 3543 6.940000E+02 1.900000E+02
6.900000E-04 3599 7.220000E+02 2.000000E+02
7.000000E-04 3667 7.440000E+02 2.100000E+02
7.100000E-04 3740 7.620000E+02 2.200000E+02
7.200000E-04 3814 7.820000E+02 2.300000E+02
7.300000E-04 3867 8.060000E+02 2.300000E+02
7.400000E-04 3920 8.200000E+02 2.300000E+02
7.500000E-04 3974 8.420000E+02 2.300000E+02
7.600000E-04 4028 8.600000E+02 2.300000E+02
7.700000E-04 4085 8.800000E+02 2.300000E+02
7.800000E-04 4142 8.980000E+02 2.400000E+02
7.900000E-04 4203 9.140000E+02 2.400000E+02
8.000000E-04 4272 9.380000E+02 2.500000E+02
8.100000E-04 4349 9.640000E+02 2.500000E+02
8.200000E-04 4427 9.880000E+02 2.500000E+02
8.300000E-04 4501 1.008000E+03 2.500000E+02
8.400000E-04 4564 1.026000E+03 2.500000E+02
8.500000E-04 4637 1.056000E+03 2.500000E+02
8.600000E-04 4707 1.086000E+03 2.500000E+02
8.700000E-04 4772 1.112000E+03 2.600000E+02
8.800000E-04 4840 1.142000E+03 2.600000E+02
8.900000E-04 4914 1.168000E+03 2.600000E+02
9.000000E-04 4978 1.180000E+03 2.600000E+02
9.100000E-04 5029 1.206000E+03 2.600000E+02
9.200000E-04 5089 1.220000E+03 2.600000E+02
9.300000E-04 5149 1.238000E+03 2.600000E+02
9.400000E-04 5224 1.276000E+03 2.700000E+02
9.500000E-04 5277 1.302000E+03 2.800000E+02
9.600000E-04 5336 1.324000E+03 2.900000E+02
9.700000E-04 5405 1.354000E+03 2.900000E+02
9.800000E-04 5465 1.386000E+03 3.000000E+02
9.900000E-04 5525 1.404000E+03 3.000000E+02
1.000000E-03 5599 1.424000E+03 3.100000E+02
