time 'microParticles_with_electrons_from_Flavin' 'microParticles_with_electrons_from_mtrC' 'nanoParticles_with_electrons_from_Flavin' 'nanoParticles_with_electrons_from_mtrC'
0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-05 0.000000E+00 0.000000E+00 6.000000E+00 1.000000E+01
2.000000E-05 0.000000E+00 0.000000E+00 2.600000E+01 2.000000E+01
3.000000E-05 0.000000E+00 0.000000E+00 5.800000E+01 3.000000E+01
4.000000E-05 0.000000E+00 0.000000E+00 8.000000E+01 3.000000E+01
5.000000E-05 0.000000E+00 0.000000E+00 1.100000E+02 4.000000E+01
6.000000E-05 0.000000E+00 0.000000E+00 1.480000E+02 5.000000E+01
7.000000E-05 4.000000E+00 0.000000E+00 1.840000E+02 5.000000E+01
8.000000E-05 4.000000E+00 0.000000E+00 2.340000E+02 8.000000E+01
9.000000E-05 4.000000E+00 0.000000E+00 2.720000E+02 8.000000E+01
1.000000E-04 8.000000E+00 0.000000E+00 3.140000E+02 1.000000E+02
1.100000E-04 1.200000E+01 0.000000E+00 3.560000E+02 1.200000E+02
1.200000E-04 1.600000E+01 0.000000E+00 3.980000E+02 1.400000E+02
1.300000E-04 2.400000E+01 0.000000E+00 4.320000E+02 1.500000E+02
1.400000E-04 3.000000E+01 0.000000E+00 4.840000E+02 1.700000E+02
1.500000E-04 3.200000E+01 1.000000E+01 5.360000E+02 1.800000E+02
1.600000E-04 3.400000E+01 1.000000E+01 5.640000E+02 2.000000E+02
1.700000E-04 3.800000E+01 2.000000E+01 6.120000E+02 2.000000E+02
1.800000E-04 4.000000E+01 2.000000E+01 6.560000E+02 2.200000E+02
1.900000E-04 4.800000E+01 2.000000E+01 6.880000E+02 2.300000E+02
2.000000E-04 5.200000E+01 2.000000E+01 7.380000E+02 2.400000E+02
2.100000E-04 6.200000E+01 2.000000E+01 7.640000E+02 2.400000E+02
2.200000E-04 7.200000E+01 2.000000E+01 8.000000E+02 2.400000E+02
2.300000E-04 8.200000E+01 2.000000E+01 8.260000E+02 2.400000E+02
2.400000E-04 9.400000E+01 2.000000E+01 8.640000E+02 2.500000E+02
2.500000E-04 1.040000E+02 2.000000E+01 9.200000E+02 2.600000E+02
2.600000E-04 1.260000E+02 3.000000E+01 9.520000E+02 2.700000E+02
2.700000E-04 1.420000E+02 3.000000E+01 9.900000E+02 2.700000E+02
2.800000E-04 1.500000E+02 3.000000E+01 1.032000E+03 2.800000E+02
2.900000E-04 1.660000E+02 3.000000E+01 1.068000E+03 2.900000E+02
3.000000E-04 1.760000E+02 3.000000E+01 1.096000E+03 3.200000E+02
3.100000E-04 1.800000E+02 3.000000E+01 1.132000E+03 3.200000E+02
3.200000E-04 1.880000E+02 3.000000E+01 1.182000E+03 3.300000E+02
3.300000E-04 2.000000E+02 4.000000E+01 1.230000E+03 3.300000E+02
3.400000E-04 2.140000E+02 5.000000E+01 1.254000E+03 3.500000E+02
3.500000E-04 2.220000E+02 5.000000E+01 1.298000E+03 3.500000E+02
3.600000E-04 2.320000E+02 5.000000E+01 1.340000E+03 3.700000E+02
3.700000E-04 2.540000E+02 5.000000E+01 1.370000E+03 3.800000E+02
3.800000E-04 2.600000E+02 5.000000E+01 1.424000E+03 3.900000E+02
3.900000E-04 2.680000E+02 5.000000E+01 1.466000E+03 3.900000E+02
4.000000E-04 2.780000E+02 5.000000E+01 1.510000E+03 4.100000E+02
4.100000E-04 2.980000E+02 7.000000E+01 1.560000E+03 4.300000E+02
4.200000E-04 3.100000E+02 7.000000E+01 1.606000E+03 4.300000E+02
4.300000E-04 3.340000E+02 7.000000E+01 1.640000E+03 4.400000E+02
4.400000E-04 3.440000E+02 8.000000E+01 1.668000E+03 4.400000E+02
4.500000E-04 3.660000E+02 8.000000E+01 1.714000E+03 4.400000E+02
4.600000E-04 3.720000E+02 8.000000E+01 1.754000E+03 4.700000E+02
4.700000E-04 3.880000E+02 8.000000E+01 1.788000E+03 4.700000E+02
4.800000E-04 4.040000E+02 8.000000E+01 1.820000E+03 4.800000E+02
4.900000E-04 4.120000E+02 9.000000E+01 1.840000E+03 5.100000E+02
5.000000E-04 4.400000E+02 9.000000E+01 1.876000E+03 5.100000E+02
5.100000E-04 4.580000E+02 1.000000E+02 1.920000E+03 5.200000E+02
5.200000E-04 4.900000E+02 1.000000E+02 1.964000E+03 5.300000E+02
5.300000E-04 5.120000E+02 1.000000E+02 1.992000E+03 5.400000E+02
5.400000E-04 5.200000E+02 1.000000E+02 2.034000E+03 5.400000E+02
5.500000E-04 5.320000E+02 1.000000E+02 2.084000E+03 5.400000E+02
5.600000E-04 5.580000E+02 1.000000E+02 2.128000E+03 5.600000E+02
5.700000E-04 5.760000E+02 1.200000E+02 2.154000E+03 5.800000E+02
5.800000E-04 5.780000E+02 1.200000E+02 2.186000E+03 6.000000E+02
5.900000E-04 6.040000E+02 1.200000E+02 2.234000E+03 6.100000E+02
6.000000E-04 6.240000E+02 1.400000E+02 2.264000E+03 6.300000E+02
6.100000E-04 6.380000E+02 1.500000E+02 2.298000E+03 6.500000E+02
6.200000E-04 6.520000E+02 1.500000E+02 2.332000E+03 6.500000E+02
6.300000E-04 6.760000E+02 1.500000E+02 2.366000E+03 6.700000E+02
6.400000E-04 6.900000E+02 1.500000E+02 2.416000E+03 6.700000E+02
6.500000E-04 7.140000E+02 1.600000E+02 2.452000E+03 6.900000E+02
6.600000E-04 7.320000E+02 1.700000E+02 2.486000E+03 6.900000E+02
6.700000E-04 7.640000E+02 1.700000E+02 2.522000E+03 7.000000E+02
6.800000E-04 7.840000E+02 1.700000E+02 2.558000E+03 7.100000E+02
6.900000E-04 8.140000E+02 1.700000E+02 2.598000E+03 7.100000E+02
7.000000E-04 8.360000E+02 1.800000E+02 2.648000E+03 7.100000E+02
7.100000E-04 8.620000E+02 1.900000E+02 2.678000E+03 7.200000E+02
7.200000E-04 8.820000E+02 1.900000E+02 2.716000E+03 7.300000E+02
7.300000E-04 8.980000E+02 2.000000E+02 2.752000E+03 7.400000E+02
7.400000E-04 9.300000E+02 2.000000E+02 2.808000E+03 7.400000E+02
7.500000E-04 9.440000E+02 2.000000E+02 2.852000E+03 7.600000E+02
7.600000E-04 9.680000E+02 2.100000E+02 2.892000E+03 7.700000E+02
7.700000E-04 9.960000E+02 2.100000E+02 2.924000E+03 7.800000E+02
7.800000E-04 1.018000E+03 2.300000E+02 2.972000E+03 7.800000E+02
7.900000E-04 1.050000E+03 2.300000E+02 3.016000E+03 7.800000E+02
8.000000E-04 1.072000E+03 2.300000E+02 3.062000E+03 7.900000E+02
8.100000E-04 1.096000E+03 2.300000E+02 3.096000E+03 8.000000E+02
8.200000E-04 1.112000E+03 2.300000E+02 3.138000E+03 8.000000E+02
8.300000E-04 1.142000E+03 2.300000E+02 3.162000E+03 8.000000E+02
