 time E '10XNapC-electrons_given_to_SolubleIron' '10XNapC-electrons_given_to_mtrB' '10XNapC-electrons_from_Flavin' '10XNapC-electrons_from_mtrC' '10XNapC-electrons_stored_in_Flavin'
0.000000E+00 0 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-04 20752 3.620000E+02 0.000000E+00 6.000000E+00 0.000000E+00 8.600000E+01
2.000000E-04 42059 1.734000E+03 1.900000E+01 1.200000E+01 1.400000E+01 1.790000E+02
3.000000E-04 64129 3.860000E+03 7.400000E+01 2.400000E+01 2.000000E+01 2.610000E+02
4.000000E-04 86524 6.456000E+03 1.900000E+02 4.400000E+01 3.000000E+01 3.230000E+02
5.000000E-04 109067 9.151000E+03 3.890000E+02 6.000000E+01 3.000000E+01 3.930000E+02
6.000000E-04 131689 1.193600E+04 5.520000E+02 8.200000E+01 3.900000E+01 4.460000E+02
7.000000E-04 154137 1.477800E+04 6.640000E+02 1.000000E+02 4.900000E+01 5.100000E+02
8.000000E-04 176882 1.753300E+04 8.120000E+02 1.350000E+02 6.200000E+01 5.580000E+02
9.000000E-04 199428 2.028600E+04 9.520000E+02 1.650000E+02 7.600000E+01 6.150000E+02
1.000000E-03 221858 2.304500E+04 1.091000E+03 1.890000E+02 9.700000E+01 6.720000E+02
1.100000E-03 244187 2.579600E+04 1.280000E+03 2.210000E+02 1.110000E+02 7.450000E+02
1.200000E-03 266636 2.863000E+04 1.421000E+03 2.630000E+02 1.200000E+02 7.970000E+02
1.300000E-03 289302 3.140900E+04 1.543000E+03 3.010000E+02 1.320000E+02 8.540000E+02
1.400000E-03 312075 3.417700E+04 1.731000E+03 3.400000E+02 1.460000E+02 9.050000E+02
1.500000E-03 334682 3.703900E+04 1.903000E+03 3.890000E+02 1.660000E+02 9.530000E+02
1.600000E-03 357463 3.980000E+04 2.058000E+03 4.190000E+02 1.770000E+02 9.960000E+02
1.700000E-03 380148 4.261500E+04 2.175000E+03 4.850000E+02 1.850000E+02 1.022000E+03
