 time E 'electrons_given_to_SolubleIron' 'electrons_given_to_mtrB' 'electrons_from_Flavin' 'electrons_from_mtrC' '_electrons_stored_in_Flavin'
0.000000E+00 0 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-04 18738 5.400000E+01 0.000000E+00 4.000000E+00 0.000000E+00 8.300000E+01
2.000000E-04 37326 2.460000E+02 0.000000E+00 4.000000E+00 0.000000E+00 1.610000E+02
3.000000E-04 56434 5.610000E+02 1.800000E+01 1.200000E+01 2.000000E+00 2.330000E+02
4.000000E-04 75527 9.870000E+02 4.800000E+01 3.200000E+01 4.000000E+00 2.890000E+02
5.000000E-04 94993 1.497000E+03 7.200000E+01 4.200000E+01 4.000000E+00 3.370000E+02
6.000000E-04 114447 2.079000E+03 1.210000E+02 5.400000E+01 1.000000E+01 3.620000E+02
7.000000E-04 133631 2.642000E+03 1.770000E+02 7.600000E+01 1.400000E+01 3.710000E+02
8.000000E-04 153197 3.256000E+03 2.110000E+02 9.600000E+01 1.400000E+01 3.890000E+02
9.000000E-04 172751 3.892000E+03 2.250000E+02 1.340000E+02 2.300000E+01 3.880000E+02
1.000000E-03 192363 4.493000E+03 3.280000E+02 1.540000E+02 3.200000E+01 4.050000E+02
1.100000E-03 211987 5.102000E+03 3.870000E+02 1.750000E+02 4.100000E+01 4.190000E+02
1.200000E-03 231412 5.676000E+03 4.410000E+02 1.900000E+02 4.200000E+01 4.390000E+02
1.300000E-03 250919 6.232000E+03 4.900000E+02 2.050000E+02 4.600000E+01 4.620000E+02
1.400000E-03 270332 6.798000E+03 5.220000E+02 2.370000E+02 4.600000E+01 4.780000E+02
1.500000E-03 290036 7.325000E+03 5.570000E+02 2.590000E+02 5.100000E+01 4.840000E+02
1.600000E-03 309747 7.905000E+03 6.350000E+02 2.910000E+02 5.100000E+01 4.890000E+02
1.700000E-03 329077 8.485000E+03 6.990000E+02 3.100000E+02 5.100000E+01 5.060000E+02
1.800000E-03 348365 9.012000E+03 7.570000E+02 3.330000E+02 6.500000E+01 5.200000E+02
1.900000E-03 368065 9.564000E+03 8.190000E+02 3.530000E+02 6.500000E+01 5.460000E+02
2.000000E-03 387585 1.016200E+04 8.670000E+02 3.800000E+02 6.500000E+01 5.680000E+02
2.100000E-03 407092 1.075900E+04 9.110000E+02 4.180000E+02 6.900000E+01 5.770000E+02
2.200000E-03 426585 1.134600E+04 9.660000E+02 4.450000E+02 7.600000E+01 5.890000E+02
2.300000E-03 446056 1.193100E+04 1.013000E+03 4.660000E+02 8.300000E+01 6.000000E+02
2.400000E-03 465595 1.246000E+04 1.074000E+03 4.940000E+02 8.300000E+01 6.050000E+02
2.500000E-03 485383 1.301700E+04 1.126000E+03 5.320000E+02 8.300000E+01 6.120000E+02
2.600000E-03 504630 1.360800E+04 1.158000E+03 5.590000E+02 8.700000E+01 6.290000E+02
2.700000E-03 523902 1.419700E+04 1.191000E+03 5.970000E+02 8.800000E+01 6.340000E+02
2.800000E-03 543434 1.479100E+04 1.234000E+03 6.090000E+02 9.000000E+01 6.450000E+02
2.900000E-03 562935 1.535800E+04 1.299000E+03 6.330000E+02 9.000000E+01 6.650000E+02
3.000000E-03 582543 1.600800E+04 1.362000E+03 6.650000E+02 9.800000E+01 6.760000E+02
3.100000E-03 601983 1.658700E+04 1.413000E+03 6.910000E+02 1.100000E+02 6.840000E+02
3.200000E-03 621724 1.720200E+04 1.495000E+03 7.270000E+02 1.200000E+02 6.880000E+02
3.300000E-03 641366 1.778200E+04 1.518000E+03 7.740000E+02 1.310000E+02 6.950000E+02
3.400000E-03 660671 1.834800E+04 1.594000E+03 7.920000E+02 1.370000E+02 7.030000E+02
3.500000E-03 680357 1.896000E+04 1.654000E+03 8.300000E+02 1.370000E+02 7.150000E+02
3.600000E-03 699772 1.959400E+04 1.697000E+03 8.690000E+02 1.400000E+02 7.170000E+02
3.700000E-03 719144 2.021700E+04 1.744000E+03 8.850000E+02 1.400000E+02 7.320000E+02
