time 'electrons_given_to_SolubleIron' 'electrons_given_to_mtrB' '10XNapC-electrons_given_to_SolubleIron' '10XNapC-electrons_given_to_mtrB'
0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-04 4.700000E+01 0.000000E+00 3.930000E+02 0.000000E+00
2.000000E-04 2.730000E+02 0.000000E+00 1.741000E+03 0.000000E+00
3.000000E-04 6.470000E+02 1.400000E+01 3.818000E+03 5.900000E+01
4.000000E-04 1.118000E+03 2.500000E+01 6.336000E+03 1.470000E+02
5.000000E-04 1.652000E+03 4.300000E+01 8.968000E+03 2.880000E+02
6.000000E-04 2.216000E+03 1.180000E+02 1.166200E+04 4.180000E+02
7.000000E-04 2.789000E+03 1.590000E+02 1.451600E+04 5.910000E+02
8.000000E-04 3.380000E+03 1.970000E+02 1.743200E+04 6.910000E+02
9.000000E-04 3.936000E+03 2.550000E+02 2.021000E+04 8.520000E+02
1.000000E-03 4.517000E+03 3.300000E+02 2.299900E+04 9.660000E+02
1.100000E-03 5.064000E+03 3.770000E+02 2.581000E+04 1.167000E+03
1.200000E-03 5.597000E+03 4.260000E+02 2.863100E+04 1.306000E+03
1.300000E-03 6.125000E+03 4.830000E+02 3.135300E+04 1.458000E+03
1.400000E-03 6.663000E+03 5.300000E+02 3.407700E+04 1.598000E+03
1.500000E-03 7.232000E+03 5.820000E+02 3.688600E+04 1.717000E+03
1.600000E-03 7.794000E+03 6.300000E+02 3.962600E+04 1.854000E+03
1.700000E-03 8.350000E+03 6.730000E+02 4.246600E+04 1.961000E+03
1.800000E-03 8.936000E+03 7.500000E+02 4.519100E+04 2.059000E+03
1.900000E-03 9.535000E+03 8.070000E+02 4.801000E+04 2.233000E+03
2.000000E-03 1.015400E+04 8.460000E+02 5.078400E+04 2.380000E+03
2.100000E-03 1.076600E+04 9.040000E+02 5.365800E+04 2.524000E+03
2.200000E-03 1.138400E+04 9.320000E+02 5.644600E+04 2.623000E+03
2.300000E-03 1.205000E+04 9.730000E+02 5.932600E+04 2.770000E+03
2.400000E-03 1.263300E+04 1.060000E+03 6.213200E+04 2.907000E+03
2.500000E-03 1.323400E+04 1.106000E+03 6.490200E+04 3.060000E+03
2.600000E-03 1.381300E+04 1.177000E+03 6.775100E+04 3.196000E+03
2.700000E-03 1.437900E+04 1.270000E+03 7.054500E+04 3.356000E+03
2.800000E-03 1.494300E+04 1.319000E+03 7.337400E+04 3.498000E+03
2.900000E-03 1.549500E+04 1.346000E+03 7.612400E+04 3.609000E+03
3.000000E-03 1.605000E+04 1.379000E+03 7.898400E+04 3.769000E+03
3.100000E-03 1.661900E+04 1.414000E+03 8.183900E+04 3.895000E+03
3.200000E-03 1.726300E+04 1.500000E+03 8.484600E+04 4.068000E+03
3.300000E-03 1.793000E+04 1.558000E+03 8.769000E+04 4.221000E+03
3.400000E-03 1.847300E+04 1.601000E+03 9.053600E+04 4.325000E+03
3.500000E-03 1.903700E+04 1.657000E+03 9.338600E+04 4.495000E+03
3.600000E-03 1.956100E+04 1.751000E+03 9.623700E+04 4.638000E+03
3.700000E-03 2.009600E+04 1.814000E+03 9.909700E+04 4.766000E+03
3.800000E-03 2.062700E+04 1.871000E+03 1.018830E+05 4.924000E+03
3.900000E-03 2.117200E+04 1.940000E+03 1.048190E+05 5.056000E+03
4.000000E-03 2.171100E+04 2.022000E+03 1.075790E+05 5.239000E+03
4.100000E-03 2.224400E+04 2.064000E+03 1.103260E+05 5.415000E+03
4.200000E-03 2.281800E+04 2.112000E+03 1.130980E+05 5.540000E+03
4.300000E-03 2.339500E+04 2.139000E+03 1.158890E+05 5.662000E+03
4.400000E-03 2.399900E+04 2.186000E+03 1.187440E+05 5.808000E+03
4.500000E-03 2.460800E+04 2.263000E+03 1.215920E+05 5.953000E+03
4.600000E-03 2.524300E+04 2.358000E+03 1.244510E+05 6.069000E+03
4.700000E-03 2.580700E+04 2.442000E+03 1.272520E+05 6.222000E+03
4.800000E-03 2.638000E+04 2.543000E+03 1.300910E+05 6.410000E+03
4.900000E-03 2.697400E+04 2.592000E+03 1.329750E+05 6.528000E+03
5.000000E-03 2.752800E+04 2.623000E+03 1.357970E+05 6.630000E+03
5.100000E-03 2.805200E+04 2.715000E+03 1.385870E+05 6.816000E+03
5.200000E-03 2.863300E+04 2.774000E+03 1.414020E+05 6.974000E+03
5.300000E-03 2.915000E+04 2.824000E+03 1.442270E+05 7.126000E+03
5.400000E-03 2.969300E+04 2.908000E+03 1.470230E+05 7.258000E+03
5.500000E-03 3.022200E+04 2.971000E+03 1.498210E+05 7.370000E+03
5.600000E-03 3.088600E+04 3.051000E+03 1.526620E+05 7.541000E+03
