time 'electrons_from_Flavin' 'electrons_from_mtrC' '_electrons_stored_in_Flavin' '10XNapC-electrons_from_Flavin' '10XNapC-electrons_from_mtrC' '10XNapC-electrons_stored_in_Flavin'
0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-04 0.000000E+00 8.000000E+00 7.100000E+01 0.000000E+00 2.000000E+01 6.500000E+01
2.000000E-04 8.000000E+00 1.200000E+01 1.610000E+02 8.000000E+00 2.000000E+01 1.460000E+02
3.000000E-04 1.200000E+01 3.200000E+01 2.440000E+02 2.000000E+01 2.000000E+01 2.170000E+02
4.000000E-04 2.600000E+01 5.200000E+01 2.960000E+02 3.400000E+01 2.600000E+01 2.840000E+02
5.000000E-04 3.600000E+01 5.400000E+01 3.280000E+02 5.200000E+01 3.600000E+01 3.360000E+02
6.000000E-04 6.400000E+01 6.200000E+01 3.470000E+02 6.800000E+01 5.800000E+01 3.860000E+02
7.000000E-04 8.600000E+01 6.200000E+01 3.650000E+02 9.800000E+01 6.000000E+01 4.550000E+02
8.000000E-04 1.120000E+02 7.700000E+01 3.940000E+02 1.200000E+02 6.600000E+01 5.230000E+02
9.000000E-04 1.290000E+02 8.000000E+01 4.170000E+02 1.460000E+02 8.300000E+01 5.930000E+02
1.000000E-03 1.450000E+02 8.000000E+01 4.320000E+02 1.850000E+02 8.900000E+01 6.350000E+02
1.100000E-03 1.680000E+02 8.400000E+01 4.480000E+02 2.260000E+02 1.010000E+02 6.780000E+02
1.200000E-03 1.900000E+02 8.600000E+01 4.620000E+02 2.540000E+02 1.130000E+02 7.320000E+02
1.300000E-03 2.100000E+02 8.600000E+01 4.730000E+02 3.030000E+02 1.340000E+02 7.910000E+02
1.400000E-03 2.360000E+02 1.020000E+02 4.860000E+02 3.400000E+02 1.540000E+02 8.490000E+02
1.500000E-03 2.580000E+02 1.030000E+02 4.990000E+02 3.820000E+02 1.580000E+02 8.980000E+02
1.600000E-03 2.850000E+02 1.030000E+02 5.080000E+02 4.430000E+02 1.740000E+02 9.380000E+02
1.700000E-03 3.120000E+02 1.110000E+02 5.180000E+02 4.950000E+02 1.840000E+02 9.920000E+02
1.800000E-03 3.300000E+02 1.290000E+02 5.360000E+02 5.520000E+02 1.840000E+02 1.031000E+03
1.900000E-03 3.570000E+02 1.410000E+02 5.430000E+02 5.950000E+02 1.940000E+02 1.094000E+03
2.000000E-03 3.800000E+02 1.500000E+02 5.560000E+02 6.380000E+02 2.190000E+02 1.134000E+03
2.100000E-03 4.040000E+02 1.590000E+02 5.640000E+02 7.110000E+02 2.400000E+02 1.161000E+03
2.200000E-03 4.160000E+02 1.590000E+02 5.850000E+02 7.440000E+02 2.490000E+02 1.212000E+03
2.300000E-03 4.340000E+02 1.590000E+02 6.140000E+02 8.290000E+02 2.570000E+02 1.237000E+03
2.400000E-03 4.580000E+02 1.590000E+02 6.280000E+02 8.920000E+02 2.680000E+02 1.265000E+03
2.500000E-03 4.850000E+02 1.630000E+02 6.340000E+02 9.740000E+02 3.030000E+02 1.288000E+03
2.600000E-03 5.080000E+02 1.630000E+02 6.540000E+02 1.034000E+03 3.060000E+02 1.337000E+03
2.700000E-03 5.520000E+02 1.680000E+02 6.610000E+02 1.114000E+03 3.420000E+02 1.363000E+03
2.800000E-03 5.900000E+02 1.810000E+02 6.750000E+02 1.169000E+03 3.430000E+02 1.410000E+03
2.900000E-03 6.170000E+02 1.810000E+02 6.880000E+02 1.240000E+03 3.560000E+02 1.430000E+03
3.000000E-03 6.570000E+02 1.810000E+02 7.040000E+02 1.292000E+03 3.600000E+02 1.453000E+03
3.100000E-03 6.760000E+02 1.950000E+02 7.110000E+02 1.355000E+03 3.680000E+02 1.477000E+03
3.200000E-03 7.070000E+02 2.010000E+02 7.210000E+02 1.437000E+03 3.960000E+02 1.507000E+03
3.300000E-03 7.340000E+02 2.010000E+02 7.280000E+02 1.495000E+03 4.010000E+02 1.540000E+03
3.400000E-03 7.730000E+02 2.050000E+02 7.310000E+02 1.555000E+03 4.130000E+02 1.574000E+03
3.500000E-03 8.080000E+02 2.260000E+02 7.440000E+02 1.638000E+03 4.340000E+02 1.615000E+03
3.600000E-03 8.340000E+02 2.260000E+02 7.490000E+02 1.712000E+03 4.420000E+02 1.637000E+03
3.700000E-03 8.880000E+02 2.290000E+02 7.490000E+02 1.788000E+03 4.660000E+02 1.667000E+03
3.800000E-03 9.160000E+02 2.290000E+02 7.670000E+02 1.871000E+03 4.720000E+02 1.689000E+03
3.900000E-03 9.590000E+02 2.310000E+02 7.780000E+02 1.944000E+03 4.990000E+02 1.722000E+03
4.000000E-03 9.880000E+02 2.380000E+02 7.940000E+02 2.017000E+03 5.200000E+02 1.764000E+03
4.100000E-03 1.028000E+03 2.430000E+02 7.960000E+02 2.098000E+03 5.320000E+02 1.775000E+03
4.200000E-03 1.067000E+03 2.450000E+02 8.020000E+02 2.184000E+03 5.510000E+02 1.815000E+03
4.300000E-03 1.101000E+03 2.470000E+02 8.090000E+02 2.247000E+03 5.700000E+02 1.841000E+03
4.400000E-03 1.129000E+03 2.620000E+02 8.240000E+02 2.342000E+03 5.700000E+02 1.860000E+03
4.500000E-03 1.157000E+03 2.670000E+02 8.210000E+02 2.428000E+03 5.740000E+02 1.878000E+03
4.600000E-03 1.182000E+03 2.720000E+02 8.330000E+02 2.501000E+03 5.810000E+02 1.901000E+03
4.700000E-03 1.222000E+03 2.720000E+02 8.360000E+02 2.608000E+03 5.840000E+02 1.910000E+03
4.800000E-03 1.264000E+03 2.750000E+02 8.430000E+02 2.703000E+03 5.950000E+02 1.949000E+03
4.900000E-03 1.300000E+03 2.910000E+02 8.480000E+02 2.793000E+03 6.070000E+02 1.965000E+03
5.000000E-03 1.339000E+03 2.910000E+02 8.510000E+02 2.874000E+03 6.140000E+02 1.995000E+03
5.100000E-03 1.374000E+03 3.060000E+02 8.580000E+02 2.952000E+03 6.280000E+02 2.019000E+03
5.200000E-03 1.424000E+03 3.060000E+02 8.480000E+02 3.046000E+03 6.410000E+02 2.040000E+03
5.300000E-03 1.477000E+03 3.060000E+02 8.530000E+02 3.165000E+03 6.530000E+02 2.054000E+03
5.400000E-03 1.520000E+03 3.070000E+02 8.630000E+02 3.279000E+03 6.800000E+02 2.068000E+03
5.500000E-03 1.559000E+03 3.280000E+02 8.850000E+02 3.394000E+03 7.100000E+02 2.065000E+03
5.600000E-03 1.600000E+03 3.360000E+02 8.820000E+02 3.518000E+03 7.280000E+02 2.074000E+03
5.700000E-03 1.644000E+03 3.370000E+02 8.910000E+02 3.594000E+03 7.410000E+02 2.097000E+03
5.800000E-03 1.683000E+03 3.400000E+02 8.910000E+02 3.711000E+03 7.560000E+02 2.105000E+03
5.900000E-03 1.714000E+03 3.410000E+02 9.030000E+02 3.816000E+03 7.780000E+02 2.115000E+03
6.000000E-03 1.748000E+03 3.500000E+02 8.970000E+02 3.902000E+03 7.850000E+02 2.143000E+03
6.100000E-03 1.789000E+03 3.540000E+02 9.050000E+02 3.982000E+03 7.950000E+02 2.166000E+03
6.200000E-03 1.824000E+03 3.540000E+02 9.170000E+02 4.080000E+03 8.040000E+02 2.200000E+03
6.300000E-03 1.875000E+03 3.540000E+02 9.160000E+02 4.178000E+03 8.100000E+02 2.209000E+03
6.400000E-03 1.919000E+03 3.540000E+02 9.200000E+02 4.274000E+03 8.220000E+02 2.232000E+03
6.500000E-03 1.965000E+03 3.540000E+02 9.240000E+02 4.389000E+03 8.350000E+02 2.238000E+03
6.600000E-03 2.006000E+03 3.570000E+02 9.230000E+02 4.509000E+03 8.530000E+02 2.255000E+03
6.700000E-03 2.047000E+03 3.650000E+02 9.370000E+02 4.625000E+03 8.890000E+02 2.250000E+03
6.800000E-03 2.091000E+03 3.760000E+02 9.510000E+02 4.742000E+03 8.960000E+02 2.253000E+03
6.900000E-03 2.139000E+03 3.840000E+02 9.500000E+02 4.838000E+03 9.030000E+02 2.268000E+03
7.000000E-03 2.177000E+03 3.850000E+02 9.550000E+02 4.930000E+03 9.050000E+02 2.291000E+03
7.100000E-03 2.227000E+03 3.850000E+02 9.340000E+02 5.024000E+03 9.230000E+02 2.303000E+03
7.200000E-03 2.260000E+03 3.850000E+02 9.380000E+02 5.157000E+03 9.280000E+02 2.307000E+03
7.300000E-03 2.306000E+03 3.910000E+02 9.390000E+02 5.247000E+03 9.500000E+02 2.343000E+03
7.400000E-03 2.349000E+03 3.910000E+02 9.450000E+02 5.372000E+03 9.600000E+02 2.343000E+03
7.500000E-03 2.382000E+03 3.990000E+02 9.590000E+02 5.481000E+03 9.700000E+02 2.361000E+03
7.600000E-03 2.418000E+03 4.040000E+02 9.660000E+02 5.557000E+03 9.890000E+02 2.391000E+03
7.700000E-03 2.475000E+03 4.080000E+02 9.710000E+02 5.711000E+03 1.008000E+03 2.372000E+03
7.800000E-03 2.528000E+03 4.090000E+02 9.770000E+02 5.843000E+03 1.008000E+03 2.370000E+03
7.900000E-03 2.578000E+03 4.160000E+02 9.850000E+02 5.952000E+03 1.021000E+03 2.393000E+03
8.000000E-03 2.621000E+03 4.220000E+02 9.880000E+02 6.057000E+03 1.024000E+03 2.393000E+03
8.100000E-03 2.671000E+03 4.220000E+02 9.900000E+02 6.170000E+03 1.045000E+03 2.409000E+03
8.200000E-03 2.726000E+03 4.240000E+02 9.850000E+02 6.285000E+03 1.061000E+03 2.428000E+03
8.300000E-03 2.774000E+03 4.260000E+02 9.750000E+02 6.417000E+03 1.100000E+03 2.415000E+03
8.400000E-03 2.845000E+03 4.380000E+02 9.620000E+02 6.543000E+03 1.131000E+03 2.423000E+03
8.500000E-03 2.903000E+03 4.380000E+02 9.430000E+02 6.666000E+03 1.144000E+03 2.422000E+03
8.600000E-03 2.966000E+03 4.410000E+02 9.350000E+02 6.777000E+03 1.153000E+03 2.428000E+03
8.700000E-03 3.003000E+03 4.410000E+02 9.370000E+02 6.892000E+03 1.169000E+03 2.446000E+03
8.800000E-03 3.047000E+03 4.500000E+02 9.320000E+02 6.986000E+03 1.173000E+03 2.464000E+03
8.900000E-03 3.081000E+03 4.540000E+02 9.410000E+02 7.108000E+03 1.212000E+03 2.461000E+03
9.000000E-03 3.124000E+03 4.540000E+02 9.460000E+02 7.209000E+03 1.238000E+03 2.475000E+03
9.100000E-03 3.170000E+03 4.590000E+02 9.600000E+02 7.346000E+03 1.252000E+03 2.464000E+03
9.200000E-03 3.211000E+03 4.670000E+02 9.720000E+02 7.467000E+03 1.260000E+03 2.467000E+03
9.300000E-03 3.259000E+03 4.690000E+02 9.760000E+02 7.590000E+03 1.280000E+03 2.475000E+03
9.400000E-03 3.313000E+03 4.810000E+02 9.870000E+02 7.721000E+03 1.306000E+03 2.471000E+03
9.500000E-03 3.357000E+03 5.020000E+02 9.970000E+02 7.842000E+03 1.314000E+03 2.467000E+03
9.600000E-03 3.421000E+03 5.040000E+02 9.840000E+02 7.964000E+03 1.317000E+03 2.479000E+03
9.700000E-03 3.469000E+03 5.170000E+02 9.870000E+02 8.098000E+03 1.338000E+03 2.485000E+03
9.800000E-03 3.499000E+03 5.170000E+02 9.960000E+02 8.223000E+03 1.349000E+03 2.474000E+03
9.900000E-03 3.562000E+03 5.270000E+02 9.910000E+02 8.342000E+03 1.368000E+03 2.482000E+03
1.000000E-02 3.588000E+03 5.290000E+02 1.008000E+03 8.432000E+03 1.369000E+03 2.499000E+03
