 time 'glucose' 'NADH' 'Complex_I_without_NADH' 'Complex_I_with_NADH' 'succinate' 'Complex_II_without_succinate' 'Complex_II_with_succinate' 'quinols' 'Quinols' 'NapC_with_0_e' 'NapC_with_2_e' 'NapC_with_4_e' '10XNapC-electrons_given_to_SolubleIron' '10XNapC-electrons_given_to_mtrB' '10XNapC-electrons_from_Flavin' '10XNapC-electrons_from_mtrC' '10XNapC-electrons_stored_in_Flavin'
0.000000E+00 1.000000E+02 0.000000E+00 50 0 0.000000E+00 50 0 0.000000E+00 0.000000E+00 50 0 100 0 0 0 0 0
5.000000E+02 1.000000E+02 0.000000E+00 50 0 0.000000E+00 50 0 0.000000E+00 0.000000E+00 51 0 99 0 0 0 0 1
1.000000E+03 1.000000E+02 0.000000E+00 50 0 0.000000E+00 50 0 0.000000E+00 0.000000E+00 51 0 99 0 0 0 0 2
1.500000E+03 9.999999E+01 0.000000E+00 50 0 0.000000E+00 50 0 0.000000E+00 0.000000E+00 54 0 96 0 0 0 0 7
2.000000E+03 9.999999E+01 0.000000E+00 50 0 0.000000E+00 50 0 0.000000E+00 0.000000E+00 56 0 94 2 0 0 0 9
2.500000E+03 9.999999E+01 0.000000E+00 50 0 0.000000E+00 50 0 0.000000E+00 0.000000E+00 57 1 92 3 0 0 0 16
3.000000E+03 9.999999E+01 6.000000E-07 50 0 2.000000E-07 50 0 0.000000E+00 0.000000E+00 59 1 90 3 0 0 0 19
3.500000E+03 9.999999E+01 5.000000E-07 49 1 0.000000E+00 48 2 0.000000E+00 0.000000E+00 61 1 88 4 0 0 0 23
4.000000E+03 9.999999E+01 1.100000E-06 49 1 2.000000E-07 48 2 0.000000E+00 0.000000E+00 62 1 87 5 0 0 0 26
4.500000E+03 9.999999E+01 1.100000E-06 49 1 0.000000E+00 46 4 0.000000E+00 0.000000E+00 65 1 84 6 0 0 0 31
5.000000E+03 9.999999E+01 1.100000E-06 49 1 0.000000E+00 46 4 0.000000E+00 0.000000E+00 67 1 82 9 0 0 0 34
5.500000E+03 9.999999E+01 1.000000E-06 48 2 0.000000E+00 45 5 0.000000E+00 0.000000E+00 69 1 80 10 0 0 0 41
6.000000E+03 9.999999E+01 1.000000E-06 48 2 0.000000E+00 45 5 0.000000E+00 0.000000E+00 69 1 80 12 0 0 0 44
6.500000E+03 9.999999E+01 1.000000E-06 48 2 0.000000E+00 45 5 0.000000E+00 0.000000E+00 73 1 76 15 0 0 0 49
7.000000E+03 9.999999E+01 2.200000E-06 48 2 4.000000E-07 45 5 0.000000E+00 0.000000E+00 76 1 73 15 0 0 0 51
7.500000E+03 9.999999E+01 2.800000E-06 48 2 6.000000E-07 45 5 0.000000E+00 0.000000E+00 77 1 72 17 0 0 0 52
8.000000E+03 9.999999E+01 3.400000E-06 48 2 8.000000E-07 45 5 0.000000E+00 0.000000E+00 80 1 69 19 0 0 0 57
8.500000E+03 9.999999E+01 4.000000E-06 48 2 9.000000E-07 44 6 0.000000E+00 0.000000E+00 85 1 64 21 0 0 0 60
9.000000E+03 9.999999E+01 4.000000E-06 48 2 9.000000E-07 44 6 0.000000E+00 0.000000E+00 85 1 64 23 0 0 0 66
9.500000E+03 9.999999E+01 4.000000E-06 48 2 9.000000E-07 44 6 0.000000E+00 0.000000E+00 90 1 59 30 0 0 0 70
1.000000E+04 9.999999E+01 4.000000E-06 48 2 9.000000E-07 44 6 0.000000E+00 0.000000E+00 92 1 57 32 0 0 0 74
1.050000E+04 9.999999E+01 4.600000E-06 48 2 1.000000E-06 43 7 0.000000E+00 0.000000E+00 94 1 55 38 0 0 0 79
1.100000E+04 9.999999E+01 4.600000E-06 48 2 1.000000E-06 43 7 0.000000E+00 0.000000E+00 98 1 51 43 0 0 0 81
1.150000E+04 9.999999E+01 5.200000E-06 48 2 1.200000E-06 43 7 0.000000E+00 0.000000E+00 101 1 48 50 0 0 0 87
1.200000E+04 9.999999E+01 5.200000E-06 48 2 1.200000E-06 43 7 0.000000E+00 0.000000E+00 104 1 45 56 0 0 0 91
1.250000E+04 9.999999E+01 5.800000E-06 48 2 1.400000E-06 43 7 0.000000E+00 0.000000E+00 105 1 44 60 0 0 0 96
1.300000E+04 9.999999E+01 6.400000E-06 48 2 1.500000E-06 42 8 0.000000E+00 0.000000E+00 109 1 40 69 0 0 0 97
1.350000E+04 9.999999E+01 6.300000E-06 47 3 1.500000E-06 42 8 0.000000E+00 0.000000E+00 112 1 37 77 0 2 6 101
1.400000E+04 9.999999E+01 6.300000E-06 47 3 1.500000E-06 42 8 0.000000E+00 0.000000E+00 113 1 36 84 0 2 6 103
1.450000E+04 9.999999E+01 6.300000E-06 47 3 1.500000E-06 42 8 0.000000E+00 0.000000E+00 114 1 35 89 0 4 6 107
1.500000E+04 9.999999E+01 6.200000E-06 46 4 1.400000E-06 41 9 0.000000E+00 0.000000E+00 116 1 33 97 0 4 6 110
1.550000E+04 9.999999E+01 6.200000E-06 46 4 1.400000E-06 41 9 0.000000E+00 0.000000E+00 118 1 31 106 0 4 6 111
1.600000E+04 9.999999E+01 6.200000E-06 46 4 1.300000E-06 40 10 0.000000E+00 0.000000E+00 119 1 30 117 0 4 6 112
1.650000E+04 9.999999E+01 6.800000E-06 46 4 1.400000E-06 39 11 0.000000E+00 0.000000E+00 120 1 29 123 0 4 6 114
1.700000E+04 9.999999E+01 6.800000E-06 46 4 1.400000E-06 39 11 0.000000E+00 0.000000E+00 120 1 29 133 0 4 6 116
1.750000E+04 9.999999E+01 8.000000E-06 46 4 1.800000E-06 39 11 0.000000E+00 0.000000E+00 120 1 29 142 0 6 6 121
1.800000E+04 9.999999E+01 8.000000E-06 46 4 1.800000E-06 39 11 0.000000E+00 0.000000E+00 121 1 28 150 0 6 6 129
1.850000E+04 9.999999E+01 8.000000E-06 46 4 1.700000E-06 38 12 0.000000E+00 0.000000E+00 122 1 27 153 0 6 6 132
1.900000E+04 9.999999E+01 8.000000E-06 46 4 1.700000E-06 38 12 0.000000E+00 0.000000E+00 124 1 25 159 0 6 6 144
1.950000E+04 9.999999E+01 8.600000E-06 46 4 1.800000E-06 37 13 0.000000E+00 0.000000E+00 124 1 25 167 0 6 6 151
